id,genre,track_name,artist_name,danceability,valence,energy,tempo
6H0nXYPj3l6aSBtq7E6zkv,afrobeat,Ye Te Oh,Papa Wemba,0.552,0.688,0.747,87.846
3Qw5RpUX43bBgPK1YqXGwU,afrobeat,C'est la vie,Amadou & Mariam,0.594,0.768,0.789,124.479
2YvGLm7HGIRwzH1pgQDmRP,afrobeat,Secret Agent,Tony Allen,0.721,0.95,0.604,119.98
07zDU6jmVdOoWUqloXPlK5,afrobeat,Jamm,Various Artists,0.786,0.903,0.667,159.974
3mYsWA2ClF84ZLroBpreo1,afrobeat,Pot Belly,Freshlyground,0.552,0.311,0.46,72.911
0JyniCxoFFTNoRTmRrLPjq,afrobeat,Koukou,Salif Keita,0.772,0.716,0.78,114.962
6JVmMksA1Im1Df0QY54pMM,afrobeat,Baby Oku (Dance),Flavour,0.741,0.907,0.93,133.456
4tOeiJqj6vhXjkckN6T3X5,afrobeat,Never Believe You,Mavado,0.953,0.657,0.685,120.071
5SNmkq6aUSZsinDvR440YP,afrobeat,Ambiance à l'africaine,Magic System,0.851,0.734,0.773,131.559
3GXTBnN7GLZlrhs9KLQJTF,afrobeat,Seya,Oumou Sangaré,0.668,0.778,0.788,101.306
4WJ9gxU84Kv9TSXWfGVpRC,afrobeat,Yori Yori,Bracket,0.675,0.948,0.793,102.936
5Z7ygHQo02SUrFmcgpwsKW,afrobeat,Wild Ones (feat. Sia),Flo Rida,0.624,0.45,0.889,127.019
7GBBywMahwItWyLdbvXUnv,afrobeat,Bumper To Bumper,Various Artists,0.742,0.686,0.793,119.965
2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.516,0.755,0.449,79.692
4Db2j0IH9ZfsQoryddUSG7,afrobeat,O.D.O.O. - Edit Version,Fela Kuti,0.864,0.618,0.709,115.259
4ItY4KOgTTHcyOjzbGx4Ip,afrobeat,The Naughty Little Flea,Miriam Makeba,0.66,0.872,0.228,140.937
5ipni5g3JBMmFwWcUvIfFR,afrobeat,Barra,Habib Koité,0.777,0.969,0.522,144.144
64NibWSxMCKaxurg4OW5Dd,afrobeat,Jombolo,Iyanya,0.725,0.663,0.871,128.086
69VsivnnXLXkuTGpBxyMxI,afrobeat,Didi,Khaled,0.719,0.804,0.812,98.748
6hOTreO6Wm7Con3alDgL2i,afrobeat,Mogo Te Diya Bee Ye,Oumou Sangaré,0.727,0.709,0.498,114.42
0bTIb1hVHD656dTDcfPLQc,afrobeat,Jupa - Remix,Various Artists,0.842,0.962,0.688,114.003
4AdEId7iTSaADarHjqIXvT,afrobeat,Oualahila Ar Tesninam,Various Artists,0.762,0.752,0.698,119.997
6NPVjNh8Jhru9xOmyQigds,afrobeat,Happy,Various Artists,0.652,0.962,0.757,159.911
4TaMW4NABBxR4wDyM5eidA,afrobeat,Windeck - Original Version,Cabo Snoop,0.803,0.182,0.865,129.964
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.899,0.78,0.837,132.006
7djBn3NwXGGOwwJ6ohUMlX,afrobeat,Kaalu,E.L,0.837,0.58,0.893,129.907
1SV8vGscmm8g83FFSu948l,afrobeat,Ole Buruku,P-Square,0.744,0.865,0.81,126.636
69BsoeZ9rmSVfQTnMIoWlg,afrobeat,Coulibaly,Amadou & Mariam,0.636,0.795,0.949,111.002
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.755,0.735,0.701,108.996
5JetF2yqEh2GZBu5J5oe2t,afrobeat,Muchana (Zouk Love),Kanda Bongo Man,0.673,0.879,0.766,100.027
07O7ypl5bdCKUop3MW7N9F,afrobeat,Diarabi,Boubacar Traoré,0.579,0.531,0.455,108.915
5k3U0OGYBccHdKJJu3HrUN,afrobeat,"Hakuna Matata - From ""The Lion King""/Soundtrack",Various Artists,0.408,0.725,0.313,170.013
0fSxmn4Sq2bfzKemOGeQv0,afrobeat,Madan - Remixed by Gekko,Salif Keita,0.741,0.632,0.817,129.951
6HU2JMDi3RrEt02WJJZOio,afrobeat,He Lives In You,Various Artists,0.772,0.442,0.43,114.871
3PIAWNKvcJc0EwwoyTVl6y,afrobeat,Hwehwe Mu Na Yi Wo Mpena,Various Artists,0.656,0.788,0.736,108.838
0zwL0IxW2DWeXtfN8PmlzV,afrobeat,Imidiwan Win Sahara,Tinariwen,0.734,0.826,0.68,94.62
0bbGO0cX2RfWZMqo9R6Nl5,afrobeat,Ethiopia Tikdem,Cedric IM Brooks & The Light of Saba,0.839,0.735,0.586,107.608
7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.494,0.687,0.48,164.021
7wAZQmk9tH1ZZFubPexO6X,afrobeat,Katolon,Salif Keita,0.763,0.42,0.403,146.07
4xIni3enaiOidNXyY0aGiu,afrobeat,Lanchi Biye with Tilahun Gessesse,Mulatu Astatke,0.591,0.371,0.194,90.114
6iZZeX2tFKYEAtU0gN38oE,afrobeat,Gagner l'argent français (Radio Edit),Mamani Keïta,0.699,0.937,0.865,124.959
